idProducto,nombre,marca,categoria,precio,year,stock
1,Mini PC 219,DataSpeed,ORDENADOR,1157.64,2023,68
2,Teclado 591,AlphaTech,ACCESORIO,85.28,2023,36
3,Auriculares 530,HomeLink,AUDIO,223.23,2023,8
4,Switch 609,SoundBlaze,REDES,135.11,2022,54
5,Hub USB 824,ViewEdge,ACCESORIO,48.01,2022,54
6,Disco Duro Externo 575GB,Connectify,ALMACENAMIENTO,139.83,2023,48
7,Micrófono 489,ClickMaster,AUDIO,149.52,2023,22
8,Móvil A716,Connectify,MOVIL,668.84,2025,31
9,Portátil 86,Connectify,ORDENADOR,1030.55,2024,61
10,Base Refrigerante 149,ChronoLink,ACCESORIO,91.0,2024,28
11,Tarjeta SD 928GB,SoundBlaze,ALMACENAMIENTO,236.58,2024,50
12,Hub USB 337,ChronoLink,ACCESORIO,101.49,2025,12
13,Switch 915,ChronoLink,REDES,214.76,2022,61
14,Auriculares 636,Connectify,AUDIO,275.39,2024,63
15,Monitor 32 4K,AlphaTech,MONITOR,562.26,2025,33
16,Monitor 27 FullHD,TechNova,MONITOR,340.95,2025,8
17,Memoria USB 737GB,Connectify,ALMACENAMIENTO,105.87,2022,31
18,Memoria USB 585GB,ViewEdge,ALMACENAMIENTO,236.06,2024,56
19,Monitor 21p FullHD,ViewEdge,MONITOR,366.14,2022,68
20,Mini PC 237,NetForce,ORDENADOR,1184.85,2023,44
21,Ultrabook 418,GraphiCore,ORDENADOR,1511.68,2024,49
22,Altavoz Bluetooth 716,Connectify,AUDIO,158.64,2022,54
23,Móvil Z165,KeyWave,MOVIL,1267.75,2024,63
24,Smartphone Z403,Connectify,MOVIL,396.67,2022,36
25,Cargador Rápido 654,ChronoLink,ACCESORIO,62.54,2023,30
26,SSD 240GB,ViewEdge,ALMACENAMIENTO,168.25,2023,20
27,Repetidor 674,TechNova,REDES,216.28,2022,58
28,PC Gaming 170,SonicWave,ORDENADOR,1860.32,2025,55
29,Disco Duro Externo 373GB,ChronoLink,ALMACENAMIENTO,141.42,2025,77
30,Base Refrigerante 499,DataSpeed,ACCESORIO,118.12,2025,5
31,Smartphone X631,HomeLink,MOVIL,204.95,2024,28
32,Ratón 811,KeyWave,ACCESORIO,68.24,2025,18
33,Smartphone X957,Connectify,MOVIL,1021.52,2025,18
34,Adaptador WiFi 575,Immersia,REDES,157.21,2024,5
35,Adaptador WiFi 409,ViewEdge,REDES,83.24,2024,53
36,Cargador Rápido 682,AlphaTech,ACCESORIO,66.63,2024,53
37,Teclado 105,NetForce,ACCESORIO,97.08,2024,15
38,Altavoz Bluetooth 852,SonicWave,AUDIO,127.7,2022,66
39,Altavoz Bluetooth 525,SoundBlaze,AUDIO,108.91,2023,48
40,Repetidor 945,NetForce,REDES,202.88,2024,11
41,Hub USB 825,NetForce,ACCESORIO,59.54,2024,24
42,Hub USB 604,GraphiCore,ACCESORIO,37.64,2022,67
43,PC Gaming 343,DataSpeed,ORDENADOR,973.02,2025,42
44,Altavoz Bluetooth 329,SoundBlaze,AUDIO,119.87,2023,25
45,Tablet Z741,HomeLink,MOVIL,644.22,2022,46
46,Micrófono 427,NetForce,AUDIO,184.72,2022,51
47,Altavoz Bluetooth 820,HomeLink,AUDIO,234.42,2025,23
48,Monitor 27p HD,NetForce,MONITOR,192.07,2022,25
49,Ratón 483,Immersia,ACCESORIO,99.35,2022,34
50,Portátil 240,ViewEdge,ORDENADOR,1188.26,2023,55
